REF_DATE,GEO,ImmigrationCount,HouseCount,PopulationCount,CPI,HousePriceIndex
01-01-1992,Alberta,51627,1005,870595,79.8,36.1
01-02-1992,Alberta,51201,1005,870595,80,36
01-03-1992,Alberta,52846,1005,870595,80.4,36.4
01-04-1992,Alberta,55102,1201,873590,80.3,36.4
01-05-1992,Alberta,55597,1201,873590,80.4,36.6
01-06-1992,Alberta,58909,1201,873590,80.5,36.7
01-07-1992,Alberta,57264,1466,877557,80.8,36.7
01-08-1992,Alberta,56764,1466,877557,80.8,36.7
01-09-1992,Alberta,55806,1466,877557,80.8,36.7
01-10-1992,Alberta,56691,1763,881140,80.7,37
01-11-1992,Alberta,56971,1763,881140,81.2,36.9
01-12-1992,Alberta,56946,1763,881140,81,37
01-01-1993,Alberta,57662,1305,883629,81.3,37.1
01-02-1993,Alberta,54851,1305,883629,81.4,37.5
01-03-1993,Alberta,56076,1305,883629,80.4,38.8
01-04-1993,Alberta,58243,1396,886098,80.8,38.8
01-05-1993,Alberta,62446,1396,886098,81,38.7
01-06-1993,Alberta,61225,1396,886098,81.3,38.1
01-07-1993,Alberta,60275,1505,889097,81.7,38.1
01-08-1993,Alberta,60406,1505,889097,81.7,38.1
01-09-1993,Alberta,58879,1505,889097,81.8,38.1
01-10-1993,Alberta,60132,1747,892874,81.7,38.2
01-11-1993,Alberta,58403,1747,892874,82.1,38.3
01-12-1993,Alberta,56974,1747,892874,82.1,38.5
01-01-1994,Alberta,53372,1292,894449,82.1,38.9
01-02-1994,Alberta,56519,1292,894449,82,39
01-03-1994,Alberta,57644,1292,894449,81.8,39.1
01-04-1994,Alberta,58611,1555,897148,82.1,39.1
01-05-1994,Alberta,59473,1555,897148,82.2,38.8
01-06-1994,Alberta,63200,1555,897148,82.4,39
01-07-1994,Alberta,64536,1877,900202,82.9,38.9
01-08-1994,Alberta,64833,1877,900202,82.9,39
01-09-1994,Alberta,64611,1877,900202,83.3,39
01-10-1994,Alberta,61953,1500,903004,83.1,39.1
01-11-1994,Alberta,65869,1500,903004,83.2,39
01-12-1994,Alberta,65177,1500,903004,83.6,38.9
01-01-1995,Alberta,64512,944,905234,83.6,39
01-02-1995,Alberta,65494,944,905234,83.9,38.7
01-03-1995,Alberta,66345,944,905234,84.1,39.1
01-04-1995,Alberta,64186,995,908315,84.3,39.2
01-05-1995,Alberta,65405,995,908315,84.5,39.2
01-06-1995,Alberta,68437,995,908315,84.3,39.1
01-07-1995,Alberta,69625,1210,911506,84.8,39.1
01-08-1995,Alberta,71692,1210,911506,84.7,39
01-09-1995,Alberta,74659,1210,911506,84.9,39.1
01-10-1995,Alberta,72085,1309,915085,84.9,39.1
