REF_DATE,ImmigrationCount,CPI,HousePriceIndex,Year,GEO_Alberta,GEO_British Columbia,GEO_Manitoba,GEO_New Brunswick,GEO_Newfoundland and Labrador,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,GEO_Saskatchewan
1992-01-01,51627,79.8,36.1,1992,1,0,0,0,0,0,0,0,0
1992-02-01,51201,80.0,36.0,1992,1,0,0,0,0,0,0,0,0
1992-03-01,52846,80.4,36.4,1992,1,0,0,0,0,0,0,0,0
1992-04-01,55102,80.3,36.4,1992,1,0,0,0,0,0,0,0,0
1992-05-01,55597,80.4,36.6,1992,1,0,0,0,0,0,0,0,0
1992-06-01,58909,80.5,36.7,1992,1,0,0,0,0,0,0,0,0
1992-07-01,57264,80.8,36.7,1992,1,0,0,0,0,0,0,0,0
1992-08-01,56764,80.8,36.7,1992,1,0,0,0,0,0,0,0,0
1992-09-01,55806,80.8,36.7,1992,1,0,0,0,0,0,0,0,0
1992-10-01,56691,80.7,37.0,1992,1,0,0,0,0,0,0,0,0
1992-11-01,56971,81.2,36.9,1992,1,0,0,0,0,0,0,0,0
1992-12-01,56946,81.0,37.0,1992,1,0,0,0,0,0,0,0,0
1993-01-01,57662,81.3,37.1,1993,1,0,0,0,0,0,0,0,0
1993-02-01,54851,81.4,37.5,1993,1,0,0,0,0,0,0,0,0
1993-03-01,56076,80.4,38.8,1993,1,0,0,0,0,0,0,0,0
1993-04-01,58243,80.8,38.8,1993,1,0,0,0,0,0,0,0,0
1993-05-01,62446,81.0,38.7,1993,1,0,0,0,0,0,0,0,0
1993-06-01,61225,81.3,38.1,1993,1,0,0,0,0,0,0,0,0
1993-07-01,60275,81.7,38.1,1993,1,0,0,0,0,0,0,0,0
1993-08-01,60406,81.7,38.1,1993,1,0,0,0,0,0,0,0,0
1993-09-01,58879,81.8,38.1,1993,1,0,0,0,0,0,0,0,0
1993-10-01,60132,81.7,38.2,1993,1,0,0,0,0,0,0,0,0
1993-11-01,58403,82.1,38.3,1993,1,0,0,0,0,0,0,0,0
1993-12-01,56974,82.1,38.5,1993,1,0,0,0,0,0,0,0,0
1994-01-01,53372,82.1,38.9,1994,1,0,0,0,0,0,0,0,0
1994-02-01,56519,82.0,39.0,1994,1,0,0,0,0,0,0,0,0
1994-03-01,57644,81.8,39.1,1994,1,0,0,0,0,0,0,0,0
1994-04-01,58611,82.1,39.1,1994,1,0,0,0,0,0,0,0,0
1994-05-01,59473,82.2,38.8,1994,1,0,0,0,0,0,0,0,0
1994-06-01,63200,82.4,39.0,1994,1,0,0,0,0,0,0,0,0
1994-07-01,64536,82.9,38.9,1994,1,0,0,0,0,0,0,0,0
1994-08-01,64833,82.9,39.0,1994,1,0,0,0,0,0,0,0,0
1994-09-01,64611,83.3,39.0,1994,1,0,0,0,0,0,0,0,0
1994-10-01,61953,83.1,39.1,1994,1,0,0,0,0,0,0,0,0
1994-11-01,65869,83.2,39.0,1994,1,0,0,0,0,0,0,0,0
1994-12-01,65177,83.6,38.9,1994,1,0,0,0,0,0,0,0,0
1995-01-01,64512,83.6,39.0,1995,1,0,0,0,0,0,0,0,0
1995-02-01,65494,83.9,38.7,1995,1,0,0,0,0,0,0,0,0
1995-03-01,66345,84.1,39.1,1995,1,0,0,0,0,0,0,0,0
1995-04-01,64186,84.3,39.2,1995,1,0,0,0,0,0,0,0,0
1995-05-01,65405,84.5,39.2,1995,1,0,0,0,0,0,0,0,0
1995-06-01,68437,84.3,39.1,1995,1,0,0,0,0,0,0,0,0
1995-07-01,69625,84.8,39.1,1995,1,0,0,0,0,0,0,0,0
1995-08-01,71692,84.7,39.0,1995,1,0,0,0,0,0,0,0,0
1995-09-01,74659,84.9,39.1,1995,1,0,0,0,0,0,0,0,0
1995-10-01,72085,84.9,39.1,1995,1,0,0,0,0,0,0,0,0
1995-11-01,74982,85.3,39.1,1995,1,0,0,0,0,0,0,0,0
1995-12-01,75997,85.0,39.0,1995,1,0,0,0,0,0,0,0,0
1996-01-01,71074,85.1,39.1,1996,1,0,0,0,0,0,0,0,0
1996-02-01,76080,85.2,39.0,1996,1,0,0,0,0,0,0,0,0
1996-03-01,79999,85.8,39.0,1996,1,0,0,0,0,0,0,0,0
1996-04-01,76352,86.2,39.1,1996,1,0,0,0,0,0,0,0,0
1996-05-01,76495,86.4,39.0,1996,1,0,0,0,0,0,0,0,0
1996-06-01,72431,86.2,39.3,1996,1,0,0,0,0,0,0,0,0
1996-07-01,73124,86.7,39.3,1996,1,0,0,0,0,0,0,0,0
1996-08-01,73277,86.8,39.3,1996,1,0,0,0,0,0,0,0,0
1996-09-01,73761,87.0,39.6,1996,1,0,0,0,0,0,0,0,0
1996-10-01,79317,86.8,39.7,1996,1,0,0,0,0,0,0,0,0
1996-11-01,74987,87.0,40.0,1996,1,0,0,0,0,0,0,0,0
1996-12-01,75391,87.1,40.6,1996,1,0,0,0,0,0,0,0,0
1997-01-01,78299,87.7,40.8,1997,1,0,0,0,0,0,0,0,0
1997-02-01,78205,87.9,40.9,1997,1,0,0,0,0,0,0,0,0
1997-03-01,75652,88.1,41.1,1997,1,0,0,0,0,0,0,0,0
1997-04-01,74681,87.8,41.3,1997,1,0,0,0,0,0,0,0,0
1997-05-01,76167,87.9,41.4,1997,1,0,0,0,0,0,0,0,0
1997-06-01,75843,88.3,41.6,1997,1,0,0,0,0,0,0,0,0
1997-07-01,75187,88.3,41.7,1997,1,0,0,0,0,0,0,0,0
1997-08-01,74095,88.3,41.9,1997,1,0,0,0,0,0,0,0,0
1997-09-01,76974,88.4,42.0,1997,1,0,0,0,0,0,0,0,0
1997-10-01,75776,88.4,42.5,1997,1,0,0,0,0,0,0,0,0
1997-11-01,77886,88.3,42.7,1997,1,0,0,0,0,0,0,0,0
1997-12-01,79847,88.3,43.1,1997,1,0,0,0,0,0,0,0,0
1998-01-01,77541,88.6,43.8,1998,1,0,0,0,0,0,0,0,0
1998-02-01,78170,87.9,44.0,1998,1,0,0,0,0,0,0,0,0
1998-03-01,75477,88.4,44.3,1998,1,0,0,0,0,0,0,0,0
1998-04-01,80753,88.8,44.5,1998,1,0,0,0,0,0,0,0,0
1998-05-01,81449,89.0,44.8,1998,1,0,0,0,0,0,0,0,0
1998-06-01,82476,89.7,45.0,1998,1,0,0,0,0,0,0,0,0
1998-07-01,82766,89.7,45.3,1998,1,0,0,0,0,0,0,0,0
1998-08-01,85384,89.7,45.3,1998,1,0,0,0,0,0,0,0,0
1998-09-01,83194,89.4,45.5,1998,1,0,0,0,0,0,0,0,0
1998-10-01,93808,89.5,45.5,1998,1,0,0,0,0,0,0,0,0
1998-11-01,83298,89.5,45.6,1998,1,0,0,0,0,0,0,0,0
1998-12-01,86083,89.7,45.8,1998,1,0,0,0,0,0,0,0,0
1999-01-01,86068,89.9,46.0,1999,1,0,0,0,0,0,0,0,0
1999-02-01,85272,89.9,46.1,1999,1,0,0,0,0,0,0,0,0
1999-03-01,84799,90.1,46.4,1999,1,0,0,0,0,0,0,0,0
1999-04-01,83583,90.3,46.4,1999,1,0,0,0,0,0,0,0,0
1999-05-01,84609,91.0,46.6,1999,1,0,0,0,0,0,0,0,0
1999-06-01,84085,91.2,46.6,1999,1,0,0,0,0,0,0,0,0
1999-07-01,86706,91.4,46.7,1999,1,0,0,0,0,0,0,0,0
1999-08-01,86233,92.1,47.1,1999,1,0,0,0,0,0,0,0,0
1999-09-01,88887,92.6,47.3,1999,1,0,0,0,0,0,0,0,0
1999-10-01,87692,92.7,47.4,1999,1,0,0,0,0,0,0,0,0
1999-11-01,87942,92.3,47.5,1999,1,0,0,0,0,0,0,0,0
1999-12-01,76374,92.7,47.7,1999,1,0,0,0,0,0,0,0,0
2000-01-01,80306,92.4,47.7,2000,1,0,0,0,0,0,0,0,0
2000-02-01,85625,92.3,47.8,2000,1,0,0,0,0,0,0,0,0
2000-03-01,86587,93.3,47.9,2000,1,0,0,0,0,0,0,0,0
2000-04-01,86580,93.3,47.8,2000,1,0,0,0,0,0,0,0,0
2000-05-01,85386,93.9,48.2,2000,1,0,0,0,0,0,0,0,0
2000-06-01,88258,94.3,48.0,2000,1,0,0,0,0,0,0,0,0
2000-07-01,84804,95.2,48.2,2000,1,0,0,0,0,0,0,0,0
2000-08-01,85341,95.3,48.2,2000,1,0,0,0,0,0,0,0,0
2000-09-01,87782,95.9,48.1,2000,1,0,0,0,0,0,0,0,0
2000-10-01,85037,96.0,48.2,2000,1,0,0,0,0,0,0,0,0
2000-11-01,82463,96.3,48.2,2000,1,0,0,0,0,0,0,0,0
2000-12-01,79992,96.3,48.2,2000,1,0,0,0,0,0,0,0,0
2001-01-01,83909,93.4,48.3,2001,1,0,0,0,0,0,0,0,0
2001-02-01,82677,95.7,48.4,2001,1,0,0,0,0,0,0,0,0
2001-03-01,85984,95.6,48.5,2001,1,0,0,0,0,0,0,0,0
2001-04-01,87878,95.7,48.6,2001,1,0,0,0,0,0,0,0,0
2001-05-01,86677,99.2,48.6,2001,1,0,0,0,0,0,0,0,0
2001-06-01,85675,99.5,48.9,2001,1,0,0,0,0,0,0,0,0
2001-07-01,84549,97.9,49.2,2001,1,0,0,0,0,0,0,0,0
2001-08-01,89536,97.8,49.2,2001,1,0,0,0,0,0,0,0,0
2001-09-01,76824,98.6,49.4,2001,1,0,0,0,0,0,0,0,0
2001-10-01,72333,97.4,49.4,2001,1,0,0,0,0,0,0,0,0
2001-11-01,75074,93.9,49.8,2001,1,0,0,0,0,0,0,0,0
2001-12-01,79439,95.4,49.9,2001,1,0,0,0,0,0,0,0,0
2002-01-01,79247,96.7,50.3,2002,1,0,0,0,0,0,0,0,0
2002-02-01,79233,97.2,50.8,2002,1,0,0,0,0,0,0,0,0
2002-03-01,81910,97.5,51.5,2002,1,0,0,0,0,0,0,0,0
2002-04-01,77274,99.0,51.8,2002,1,0,0,0,0,0,0,0,0
2002-05-01,83073,99.4,52.3,2002,1,0,0,0,0,0,0,0,0
2002-06-01,76863,99.9,52.7,2002,1,0,0,0,0,0,0,0,0
2002-07-01,80906,99.9,52.9,2002,1,0,0,0,0,0,0,0,0
2002-08-01,82862,100.1,53.2,2002,1,0,0,0,0,0,0,0,0
2002-09-01,82092,101.4,53.3,2002,1,0,0,0,0,0,0,0,0
2002-10-01,78372,102.5,53.4,2002,1,0,0,0,0,0,0,0,0
2002-11-01,74949,103.0,53.8,2002,1,0,0,0,0,0,0,0,0
2002-12-01,80225,103.3,54.2,2002,1,0,0,0,0,0,0,0,0
2003-01-01,83673,103.5,54.4,2003,1,0,0,0,0,0,0,0,0
2003-02-01,82062,103.8,54.7,2003,1,0,0,0,0,0,0,0,0
2003-03-01,79124,104.9,55.0,2003,1,0,0,0,0,0,0,0,0
2003-04-01,80706,104.9,55.1,2003,1,0,0,0,0,0,0,0,0
2003-05-01,72089,104.2,55.2,2003,1,0,0,0,0,0,0,0,0
2003-06-01,76868,104.7,55.4,2003,1,0,0,0,0,0,0,0,0
2003-07-01,73885,104.3,55.5,2003,1,0,0,0,0,0,0,0,0
2003-08-01,72105,104.2,55.6,2003,1,0,0,0,0,0,0,0,0
